TerminalNode,VPUCode
110819312,102
110823163,102
110823306,102
110824544,102
110828485,102
110829894,102
110831079,102
110850875,102
110852170,102
110853412,102
110853500,102
110858692,102
110870540,102
110873059,102
110879715,102
110912515,102
110241073,103
110242306,103
110254194,103
110258130,103
110265894,103
110269841,103
110272449,103
110273874,103
110275099,103
110279022,103
110280343,103
110281647,103
110283061,103
110285542,103
110287003,103
110288269,103
110289535,103
110290810,103
110290934,103
110292150,103
110292152,103
110293477,103
110293540,103
110294833,103
110296039,103
110297402,103
110301343,103
110302625,103
110304065,103
110305200,103
110305282,103
110305283,103
110307888,103
110307899,103
110307987,103
110307993,103
110309190,103
110310508,103
110313242,103
110314440,103
110314469,103
110315746,103
110315818,103
110317079,103
110318463,103
110319684,103
110323734,103
110326250,103
110331512,103
110331595,103
110334118,103
110335446,103
110336858,103
110338022,103
110338128,103
110340759,103
110340804,103
110341949,103
110343349,103
110343387,103
110345992,103
110346008,103
110347309,103
110347312,103
110348578,103
110349814,103
110351298,103
110352443,103
110353758,103
110355183,103
110356402,103
110357768,103
110357808,103
110360430,103
110361627,103
110363045,103
110366863,103
110366984,103
110367002,103
110370929,103
110372111,103
110373591,103
110377514,103
110380077,103
110380090,103
110380092,103
110382757,103
110382782,103
110383989,103
110384026,103
110384045,103
110389255,103
110391935,103
110394520,103
110395752,103
110395837,103
110395855,103
110397165,103
110401100,103
110407544,103
110411500,103
110412894,103
110414204,103
110419330,103
110423386,103
110427316,103
110428522,103
110428628,103
110436498,103
110443068,103
110444384,103
110466561,103
110610790,103
110639652,103
110639664,103
110651508,103
110660646,103
110673766,103
110703954,103
110730185,103
110732808,103
110748568,103
110762955,103
110765637,103
110768231,103
110769491,103
110774749,103
110777430,103
110799729,103
110818063,103
110819357,103
110842994,103
110862667,103
110866626,103
120011639,104
120018292,104
120024945,104
120049901,104
120051551,104
120054881,104
120059873,104
120081502,104
120093133,104
120094797,104
120094812,104
120099801,104
120101456,104
120104782,104
120104783,104
120104797,104
120114763,104
120128080,104
120131402,104
120134731,104
120146379,104
120153032,104
120154691,104
120154696,104
120158028,104
120161353,104
120163017,104
120169673,104
120171333,104
120177990,104
120179656,104
120184629,104
120184646,104
120186292,104
120187974,104
120189622,104
120194617,104
120194631,104
120211237,104
120214599,104
120219571,104
120221245,104
120226227,104
120229572,104
120231233,104
120232894,104
120234541,104
120237818,104
120244527,104
120249500,104
120254502,104
120257659,104
120261151,104
120269484,104
120272758,104
120272820,104
120276085,104
120279451,104
120281034,104
120281068,104
120281102,104
120282651,104
120284436,104
120286113,104
120289459,104
120292738,104
120302758,104
120305993,104
120306020,104
120307660,104
120310902,104
120310970,104
120317704,104
120319160,104
120319384,104
120320957,104
120321004,104
120321006,104
120322651,104
120324196,104
120324304,104
120326016,104
120326019,104
120334329,104
120337634,104
120337672,104
120344275,104
120344332,104
120347598,104
120349276,104
120350890,104
120350915,104
120352406,104
120352547,104
120354141,104
120357503,104
120360762,104
120360897,104
120362517,104
120365916,104
120370679,104
120372590,104
120374108,104
120377438,104
120377493,104
120379147,104
120379152,104
120380776,104
120382490,104
120390638,104
120390761,104
120390774,104
120390839,104
120392498,104
120394078,104
120394091,104
120397427,104
120400833,104
120405706,104
120407468,104
120409050,104
120409133,104
120412383,104
120414010,104
120419006,104
120419010,104
120419019,104
120419044,104
120422380,104
120424036,104
120425640,104
120427332,104
120427334,104
120429106,104
120430677,104
120430731,104
120433954,104
120433962,104
120434016,104
120435664,104
120437277,104
120439003,104
120440402,104
120440638,104
120442287,104
120444071,104
120445636,104
120447279,104
120447312,104
120452124,104
120453918,104
120458938,104
120458967,104
120460666,104
120473867,104
120473903,104
120473940,104
120475608,104
120478932,104
120478955,104
120480600,104
120482256,104
120482314,104
120483842,104
120488917,104
120493912,104
120505438,104
120505490,104
120505555,104
120512027,104
120520259,104
120548756,104
120558591,104
120560230,104
120561881,104
120567035,104
120581842,104
120314210,105
120329181,105
120337484,105
120344057,105
120344086,105
120344131,105
120347410,105
120347473,105
120350595,105
120354147,105
120357338,105
120367449,105
120374005,105
120377386,105
120378823,105
120380738,105
120382381,105
120382433,105
120385704,105
120395484,105
120395508,105
120397363,105
120398921,105
120398991,105
120402270,105
120402293,105
120403841,105
120403876,105
120403975,105
120405617,105
120407281,105
120408773,105
120410471,105
120410593,105
120410641,105
120410663,105
120410721,105
120412261,105
120413785,105
120414034,105
120415364,105
120415493,105
120417194,105
120417225,105
120417353,105
120418821,105
120418937,105
120418991,105
120420409,105
120420514,105
120420604,105
120421863,105
120423962,105
120423979,105
120425447,105
120427026,105
120427272,105
120428679,105
120428806,105
120428817,105
120428864,105
120430348,105
120432264,105
120433800,105
120435385,105
120435657,105
120437059,105
120437198,105
120437214,105
120438846,105
120438936,105
120438982,105
120440375,105
120440467,105
120440474,105
120440496,105
120440590,105
120442054,105
120442148,105
120443703,105
120443737,105
120443929,105
120445440,105
120445451,105
120445653,105
120447064,105
120447199,105
120447206,105
120448675,105
120448842,105
120448864,105
120448891,105
120448935,105
120452173,105
120452195,105
120452227,105
120453970,105
120455346,105
120455512,105
120455531,105
120457053,105
120457131,105
120458713,105
120458787,105
120460303,105
120460417,105
120460504,105
120461801,105
120463778,105
120463797,105
120467065,105
120467131,105
120467204,105
120467215,105
120468633,105
120468725,105
120468739,105
120468840,105
120470200,105
120470377,105
120470392,105
120470500,105
120472068,105
120472117,105
120473723,105
120475509,105
120477041,105
120478604,105
120478732,105
120478835,105
120480487,105
120480584,105
120481927,105
120481977,105
120482204,105
120483472,105
120483679,105
120483701,105
120483725,105
120485313,105
120485363,105
120487123,105
120488826,105
120490397,105
120491915,105
120493607,105
120493650,105
120495434,105
120495448,105
120496985,105
120498070,105
120498586,105
120500275,105
120502101,105
120503600,105
120505391,105
120505396,105
120506981,105
120507131,105
120508560,105
120508642,105
120508681,105
120509983,105
120512044,105
120513570,105
120513615,105
120513638,105
120513693,105
120515217,105
120515376,105
120517005,105
120517016,105
120518580,105
120518637,105
120518766,105
120520094,105
120520213,105
120520386,105
120520392,105
120523665,105
120523704,105
120526929,105
120527039,105
120528260,105
120528707,105
120530406,105
120532008,105
120533498,105
