outletRiverId,groupId
140179452,111
140183392,112
140184844,112
140186303,113
140186670,111
140188129,111
140190656,113
140190668,113
140195034,112
140195038,112
140202316,113
140208511,111
140209596,113
140211047,113
140213953,112
140215415,113
140227028,112
140227053,113
140227620,112
140228478,113
140231944,112
140234867,111
140240136,113
140240151,113
140242152,111
140254707,113
140256701,112
140257614,113
140257628,113
140260522,113
140263966,112
140264873,113
140264906,112
140268352,111
140268381,111
140268389,112
140269286,112
140269832,112
140269835,111
140273651,113
140274157,111
140280048,111
140287306,111
140291096,112
140292558,113
140293121,111
140294026,113
140296020,111
140298364,113
140301842,111
140301888,111
140307105,112
140307689,111
140310037,112
140317880,111
140317921,111
140320799,111
140321659,112
140336225,113
140339122,112
140339739,112
140344917,112
140344930,112
140348478,111
140356603,113
140358679,112
140359497,113
140363442,112
140365947,112
140365969,111
140368216,113
140371776,111
140376163,111
140379038,111
140379085,111
140380576,111
140382813,113
140396548,111
140397984,111
140404619,113
140408235,112
140416262,113
140418619,112
140421565,112
140421696,112
140422065,112
140424221,111
140432984,112
140435895,112
140437683,112
140443522,112
140447883,112
140452046,112
140454109,113
140456636,112
140458433,112
140459170,111
140465355,112
140468233,112
140469655,112
140472628,112
140476746,111
140478864,112
140479912,112
140481776,113
140482765,112
140482902,112
140483223,112
140488655,112
140491309,111
140491432,112
140493397,112
140495925,112
140497066,111
140497219,112
140497762,112
140503211,112
140503305,112
140504280,112
140504338,112
140505788,112
140505996,112
140507625,112
140508703,112
140510808,112
140512022,112
140513143,112
140513354,112
140516313,112
140518026,112
140520464,112
140521044,112
140521798,112
140526391,112
140531006,112
140533825,112
140537006,112
140539690,112
140540917,112
140542222,112
140545424,112
140546550,112
140548337,112
140551408,112
140553932,112
140554162,112
140554239,112
140554385,112
140558207,112
140558392,112
140560313,112
140561838,112
140564119,112
140565881,112
140567003,112
140567337,112
140568946,112
140570243,112
140571622,112
140571944,112
140575905,112
140580620,112
140581496,111
140583655,112
140584860,112
140584871,111
140584981,112
140586017,112
140586051,112
140586327,111
140587327,112
140588776,111
140596617,112
140597762,112
140599042,112
140599080,112
140599371,112
140599519,112
140602214,112
140602523,112
140606742,112
140608036,112
140612678,112
140613988,112
140615379,112
140618312,112
140618525,112
140621345,112
140625685,112
140628553,112
140629689,112
140637009,112
140638860,112
140638948,112
140642936,112
140651874,112
140653236,112
140653306,112
140656231,112
140657670,112
140665009,112
140669089,112
140669461,112
140673883,112
140676324,112
140676674,112
140679609,112
140680946,112
140692770,112
140694122,112
140724742,112
140727677,112
140734865,112
140756684,112
140756746,112
150003996,114
150041702,114
150049652,114
150062968,114
150065528,114
150069496,114
150075442,114
150077426,114
150085370,114
150116971,114
150150706,114
150152553,114
150154815,114
150156801,114
150158782,114
150162492,114
150162751,114
150164735,114
150164737,114
150166719,114
150172504,114
150172686,114
150176351,114
150176372,114
150176490,114
150176493,114
150176643,114
150178360,114
150184297,114
150186385,114
150186407,114
150188329,114
150190342,114
150190532,114
150192340,114
150192533,114
150196215,114
150198175,114
150202168,114
150202449,114
150204121,114
150204257,114
150206146,114
150206402,114
150208222,114
150210104,114
150210137,114
150210376,114
150210379,114
150212054,114
150214066,114
150214068,114
150214072,114
150216052,114
150216330,114
150216342,114
150218024,114
150218095,114
150220063,114
150223987,114
150224041,114
150226250,114
150227919,114
150227960,114
150228256,114
150229960,114
150231877,114
150232199,114
150233877,114
150233880,114
150234194,114
150235869,114
150235949,114
150236170,114
150237864,114
150239874,114
150245769,114
150252039,114
150252077,114
150255707,114
150255723,114
150256019,114
150256026,114
150256028,114
150257671,114
150269596,114
150271591,114
150273576,114
150281506,114
150281862,114
150283425,114
150283469,114
150285441,114
150289809,114
150297748,114
150301678,114
150303250,114
150303281,114
150307250,114
150309642,114
150313222,114
150317133,114
150317146,114
150317555,114
150321086,114
150321568,114
150323129,114
150341442,114
150345394,114
150352844,114
150353284,114
150353482,114
150355279,114
150357275,114
150360768,114
150361244,114
150362748,114
150363227,114
150364741,114
150366678,114
150373183,114
150374696,114
150376681,114
150378649,114
150381083,114
150381106,114
150386574,114
150389043,114
150390557,114
150392332,114
150392540,114
150393035,114
150393064,114
150398965,114
150398969,114
150402296,114
150404404,114
150404412,114
150406431,114
150406874,114
150408887,114
150408957,114
150410324,114
150410890,114
150412271,114
150414956,114
150416297,114
150418174,114
150418841,114
150420129,114
150420800,114
150422801,114
150424079,114
150424207,114
150424779,114
150426149,114
150426175,114
150426227,114
150426280,114
150428718,114
150430021,114
150430027,114
150430215,114
150430249,114
150430839,114
150432127,114
150432149,114
150434658,114
150434797,114
150436011,114
150436031,114
150436049,114
150436127,114
150436742,114
150436807,114
150438802,114
150438819,114
150439999,114
150440649,114
150440783,114
150441952,114
150442033,114
150442048,114
150442747,114
150442752,114
150444005,114
150444032,114
150444063,114
150444070,114
150444615,114
150444686,114
150444721,114
150445943,114
150445952,114
150446046,114
150446061,114
150447959,114
150448723,114
150449924,114
150449973,114
150450631,114
150450720,114
150451922,114
150452522,114
150452672,114
150454506,114
150454552,114
150454580,114
150454693,114
150455935,114
150456560,114
150456592,114
150456594,114
150456648,114
150456673,114
150457827,114
150457853,114
150457926,114
150458019,114
150458507,114
150459779,114
150459881,114
150461807,114
150461820,114
150461824,114
150461853,114
150462475,114
150462560,114
150462589,114
150462596,114
150463800,114
150463892,114
150464541,114
150465780,114
150465797,114
150466436,114
150466448,114
150466466,114
150469840,114
150469883,114
150470414,114
150471676,114
150471731,114
150471772,114
150471773,114
150471806,114
150472548,114
150472588,114
150473829,114
150474423,114
150474441,114
150474479,114
150475700,114
150475709,114
150475718,114
150475790,114
150476441,114
150476480,114
150477776,114
150478395,114
150479629,114
150479715,114
150480335,114
150481614,114
150481747,114
150482296,114
150483610,114
150485680,114
150486286,114
150487588,114
150487733,114
150488272,114
150488397,114
150488408,114
150489562,114
150489633,114
150490260,114
150492270,114
150493542,114
150493554,114
150493651,114
150494226,114
150494307,114
150494396,114
150495594,114
150498198,114
150498207,114
150501525,114
150502230,114
150502243,114
150502300,114
150503458,114
150503517,114
150504270,114
150504278,114
150505489,114
150506173,114
150507473,114
150508185,114
150509390,114
150509522,114
150510102,114
150510131,114
150510211,114
150510243,114
150510285,114
150513309,114
150513403,114
150513424,114
150513458,114
150513476,114
150513502,114
150514173,114
150514192,114
150514244,114
150515354,114
150516072,114
150516129,114
150516188,114
150517395,114
150518061,114
150518148,114
150519428,114
150520141,114
150522197,114
150523289,114
150523422,114
150524029,114
150524035,114
150526125,114
150527306,114
150529291,114
150529296,114
150530056,114
150530093,114
150531343,114
150532048,114
150533281,114
150533322,114
150533928,114
150534059,114
150535268,114
150535283,114
150537162,114
150537251,114
150537304,114
150537871,114
150537890,114
150537993,114
150541203,114
150541223,114
150541961,114
150543196,114
150543204,114
150544012,114
150547124,114
150547810,114
150549117,114
150551005,114
150551918,114
150551929,114
