riverName,riverId,outletRiverId,watershedName,lat,lon,country,parentRiverId,bboxWest,bboxSouth,bboxEast,bboxNorth,notes,validationFlag,sourceRow,wikipedia
Ussuri,410821580,410663685,Amur,48.54389,135.003,Russia,410663685,129.92955,43.45122,138.01638,48.90144,"Large river out of China, outlets in Russia",,67.0,
Songhua,410849261,410663685,Amur,47.79333,132.59287,China,410663685,119.48405,41.76622,132.67661,51.58344,,,68.0,
Red,420036692,420036692,Red,20.24633,106.58956,Vietnam,,100.16656,20.24633,106.58956,25.57622,,,549.0,https://en.wikipedia.org/wiki/Red_River_%28Asia%29
Xi,420385803,420385803,Xi,22.166,113.42811,China,,102.334,21.59078,113.511,26.75867,,,534.0,
Hai,420673932,420673932,Hai,38.96322,117.72444,China,,112.07156,38.19,117.72444,41.58444,,,538.0,
Yellow,420711866,420711866,Yellow,37.85022,119.24633,China,,95.988,32.28644,119.24633,41.788,*tributaries!,,533.0,
Yalong,420670306,420826775,Yangtze,26.60511,101.80367,China,420806418,96.90233,26.60511,102.66222,34.09822,,,90.0,
Zishui,420712212,420826775,Yangtze,28.68267,112.72733,China,420828907,110.30256,25.87144,112.72733,28.70956,,,85.0,
Han,420747980,420826775,Yangtze,30.57456,114.29856,China,420828907,106.18744,30.38444,114.29856,34.13422,,,87.0,
Xiang,420801298,420826775,Yangtze,28.77056,112.85144,China,420828907,110.548,24.71344,114.20067,28.77056,,,84.0,
Jinsha,420806418,420826775,Yangtze,28.77111,104.63411,China,420828907,90.61011,24.52889,104.88967,35.69744,,,91.0,
Jialing,420809459,420826775,Yangtze,29.57767,106.58078,China,420828907,102.63689,29.34378,108.91156,34.483,,,88.0,
Min,420810512,420826775,Yangtze,28.77111,104.63411,China,420828907,99.70511,28.28256,104.63411,33.59822,,,89.0,
Yangtze,420826775,420826775,Yangtze,31.97889,120.36922,China,,90.61011,24.52889,120.36922,35.69744,,,81.0,
Lower Yangtze,420828907,420826775,Yangtze,29.78378,116.25611,China,420826775,90.61011,24.52889,118.54622,35.69744,,,83.0,
Pahang,430109492,430109492,Pahang,3.532,103.47178,Malaysia,,101.38767,2.79867,103.47178,4.70967,,,555.0,
Mekong,430157411,430157411,Mekong,10.19456,106.74211,Vietnam,,93.92944,10.10278,108.728,33.78644,,,184.0,
Se San,430475771,430157411,Mekong,13.53622,105.94567,Cambodia,430157411,105.94567,11.93278,108.728,16.342,,,187.0,
Nam Mun,430482883,430157411,Mekong,15.32144,105.52067,Laos,430157411,101.33778,14.156,105.56711,17.57489,,,186.0,
Nam Ou,430486831,430157411,Mekong,20.05233,102.20978,Laos,430157411,101.61656,20.05233,103.13,22.47689,,,188.0,
Chao Praya,430483961,430483961,Chao Praya,13.54233,100.59422,Thailand,,98.11122,13.54233,101.51922,19.73544,,,537.0,
Irrawaddy,430527914,430527914,Irrawaddy,16.11422,95.14289,Myanmar,,93.52356,16.11356,98.78133,28.71156,,,535.0,
Salween,430528936,430528936,Salween,16.14756,97.548,Myanmar,,91.215,15.27344,100.15556,32.73389,,,536.0,
Krishna,440262380,440262380,Krishna,15.74833,80.80978,India,,73.43189,13.16178,80.899,19.34333,,,349.0,
