TerminalLink,VPUCode
450002410,413
450012747,413
450002412,413
450002422,413
450048676,413
450001354,413
450000815,413
450046512,413
450051953,413
450039444,413
450009553,413
450004121,413
450000333,413
450041138,413
450165177,413
450098270,413
450060198,413
450003082,413
450079247,413
450022678,413
450007994,413
450073271,413
450019419,413
450001480,413
450004745,413
450005289,413
450003125,413
450008022,413
450017817,413
450001020,413
450013061,413
450014150,413
450014159,413
450003824,413
450007088,413
450012530,413
450029939,413
450002202,413
450002749,413
450025060,413
450036488,413
450043561,413
450044651,413
450030512,413
450026707,413
450038141,413
450030526,413
450001701,413
450045771,413
450048499,413
450061557,413
450001181,413
450002822,413
450008822,413
450006103,413
450020251,413
450002851,413
450002309,413
450002310,413
450039850,413
450003948,413
450013196,413
450014828,413
450009933,413
450007217,413
450009393,413
450013206,413
450006678,413
450002327,413
450006680,413
450005052,413
450019746,413
450013763,413
450035524,413
450035525,413
450001804,413
450032812,413
450030095,413
450050230,413
450074167,413
450002360,413
450064922,413
450077978,413
450086684,413
450069821,413
450107902,413
450103006,413
450098655,413
450108991,413
450097032,413
450125321,413
450140009,413
450116076,413
450002384,413
450035027,413
450061684,413
450037204,413
450055157,413
450055702,413
450055158,413
450047543,413
450014906,413
450027418,413
450037756,413
450033948,413
450036124,413
450019807,413
450019263,413
450023074,413
450012739,413
450013287,413
450007848,413
450012205,413
450007853,413
450014381,413
450011121,413
450016563,413
450039958,413
450002427,413
450037787,413
450036157,413
450001897,413
450048144,413
450003022,413
450064498,413
450001395,413
450003028,413
450068853,413
450076469,413
450087351,413
450120537,413
450126522,413
450096060,413
450118369,413
450001417,413
450125456,413
450021552,413
450125457,413
450157554,413
450131986,413
450136338,413
450075955,413
450145587,413
450213043,413
450177683,413
450025908,413
450152661,413
450200534,413
450186390,413
450152119,413
450211415,413
450190745,413
450106974,413
450115678,413
450140158,413
450055295,413
450178783,413
450156480,413
450148320,413
450100449,413
450009602,413
450060738,413
450054211,413
450107524,413
450099909,413
450001990,413
450093382,413
450121126,413
450105350,413
450109159,413
450001993,413
450069993,413
450110249,413
