drop,keptIn,removedFrom,reaches,pctTwinned,pctInOwnLevel2
310210669,2020041390,3020000010,3,66.7,0.0
320000107,3020000010,3020003790,1,100.0,0.0
320001153,3020005240,3020003790,3,33.3,0.0
320001270,3020000010,3020003790,1,100.0,0.0
320056516,3020005240,3020003790,15,40.0,0.0
320110704,3020000010,3020003790,9,88.9,0.0
330139097,3020003790,3020005240,5,100.0,0.0
340070021,3020005240,3020008670,3,66.7,0.0
340073706,3020005240,3020008670,9,22.2,0.0
340092090,3020005240,3020008670,11,54.5,0.0
340092104,3020005240,3020008670,15,66.7,0.0
410000708,4020006940,4020000010,1,100.0,0.0
410002754,4020006940,4020000010,3,66.7,0.0
410081609,4020006940,4020000010,3,66.7,0.0
410166937,3020009320,4020000010,1,100.0,0.0
420296037,4020000010,4020006940,3,66.7,0.0
420300132,4020000010,4020006940,1,100.0,0.0
420301156,4020000010,4020006940,1,100.0,0.0
440000511,2020071190,4020024190,1,100.0,0.0
440215519,4020015090,4020024190,3,66.7,0.0
440223796,4020015090,4020024190,3,66.7,0.0
440267824,4020015090,4020024190,3,66.7,0.0
620594760,6020008320,6020006540,3,66.7,0.0
620680088,6020008320,6020006540,5,40.0,0.0
620715844,6020008320,6020006540,5,40.0,0.0
650002385,6020021870,6020017370,3,66.7,0.0
650002391,6020021870,6020017370,3,66.7,0.0
650003984,6020021870,6020017370,5,80.0,0.0
650003997,6020021870,6020017370,3,66.7,0.0
650004794,6020021870,6020017370,1,100.0,0.0
650006395,6020021870,6020017370,7,57.1,0.0
650021589,6020021870,6020017370,9,88.9,0.0
650212256,6020014330,6020017370,1,100.0,0.0
660040037,6020017370,6020021870,5,80.0,0.0
660051331,6020017370,6020021870,1,100.0,0.0
660052031,6020017370,6020021870,5,100.0,0.0
660053443,6020017370,6020021870,1,100.0,0.0
660058371,6020017370,6020021870,7,85.7,0.0
660064711,6020017370,6020021870,3,66.7,0.0
660065410,6020017370,6020021870,3,66.7,0.0
660075974,6020017370,6020021870,3,66.7,0.0
660102150,6020029280,6020021870,5,80.0,0.0
660121033,6020017370,6020021870,7,85.7,0.0
660132296,6020017370,6020021870,7,85.7,0.0
660132297,6020017370,6020021870,3,66.7,0.0
670004092,6020021870,6020029280,5,40.0,0.0
670005117,6020021870,6020029280,3,66.7,0.0
670017393,6020021870,6020029280,5,40.0,0.0
670018425,6020021870,6020029280,5,40.0,0.0
670020464,6020021870,6020029280,3,66.7,0.0
670021959,6020006540,6020029280,7,85.7,0.0
670026418,6020006540,6020029280,3,66.7,0.0
670027443,6020006540,6020029280,3,66.7,0.0
670028464,6020006540,6020029280,3,66.7,0.0
670033767,6020021870,6020029280,3,66.7,0.0
670036838,6020021870,6020029280,1,100.0,0.0
670050150,6020021870,6020029280,3,100.0,0.0
710000108,7020014250,7020000010,1,100.0,0.0
710005651,7020047840,7020000010,1,100.0,0.0
710025602,7020047840,7020000010,3,66.7,0.0
710031555,7020047840,7020000010,5,80.0,0.0
710061098,7020047840,7020000010,3,66.7,0.0
710069036,7020047840,7020000010,3,66.7,0.0
710084765,7020047840,7020000010,1,100.0,0.0
710124414,7020047840,7020000010,5,80.0,0.0
710126398,7020047840,7020000010,3,66.7,0.0
710126417,7020047840,7020000010,7,85.7,0.0
710128396,7020047840,7020000010,3,66.7,0.0
710128401,7020047840,7020000010,5,80.0,0.0
710130365,7020047840,7020000010,3,66.7,0.0
710138302,7020047840,7020000010,3,100.0,0.0
710146240,7020047840,7020000010,7,85.7,0.0
710156174,7020047840,7020000010,7,85.7,0.0
710158162,7020047840,7020000010,3,66.7,0.0
710172028,7020047840,7020000010,3,66.7,0.0
710207745,7020047840,7020000010,5,80.0,0.0
710267953,7020014250,7020000010,5,40.0,0.0
710295727,7020014250,7020000010,3,66.7,0.0
710476276,7020014250,7020000010,5,60.0,0.0
720007944,8020000010,7020014250,1,100.0,0.0
720011939,8020000010,7020014250,3,66.7,0.0
720019860,8020000010,7020014250,5,40.0,0.0
720059416,7020000010,7020014250,3,66.7,0.0
730023071,8020010700,7020021430,3,66.7,0.0
730364295,7020024600,7020021430,9,88.9,0.0
740185139,7020038340,7020024600,1,100.0,0.0
740303087,7020021430,7020024600,7,42.9,0.0
740319218,7020021430,7020024600,5,80.0,0.0
750068700,7020024600,7020038340,1,100.0,0.0
810129513,8020008900,8020000010,3,100.0,0.0
810131195,8020008900,8020000010,1,100.0,0.0
810158057,8020008900,8020000010,3,66.7,0.0
810168131,8020008900,8020000010,5,40.0,0.0
810169809,8020008900,8020000010,3,66.7,0.0
810186621,8020008900,8020000010,9,66.7,0.0
820000048,8020000010,8020008900,1,100.0,0.0
820000054,8020000010,8020008900,1,100.0,0.0
820000057,8020000010,8020008900,1,100.0,0.0
820002740,8020000010,8020008900,3,66.7,0.0
820178869,8020010700,8020008900,7,57.1,0.0
830000239,8020008900,8020010700,1,100.0,0.0
830000243,8020008900,8020010700,1,100.0,0.0
830053541,8020008900,8020010700,5,40.0,0.0
830056817,8020008900,8020010700,3,66.7,0.0
